Sociedad,Cliente,Nº documento,ClaseDocumento,FechaDocumento,Referencia,Texto,Importe
X013,3071544581,1600012096,XG,"miércoles, 3 de enero de 2024",0049B00000112,CMTR:ANULA FACTURA 49-112,"-3,294,458,038"
X013,3065485516,1600012097,XG,"miércoles, 3 de enero de 2024",0097A00000947,CMTR:ANULA FACTURA 97-1171,"-363,213,384"
X013,3068825409,1600012101,XG,"viernes, 5 de enero de 2024",0097A00000948,DEBITO PARCIAL S/FA 97-1159,"-190,341,378"
X013,3054674125,1600012134,XG,"lunes, 8 de enero de 2024",0097A00000953,DEBITO PARCIAL S/FA 97-1137,"-257,236,841"
X013,3054586767,1400019407,DZ,"lunes, 8 de enero de 2024",0004X00002365,REALIZADO - SOC ITALIANA SIN DETALLE MAIL 16.01.24,"-398985,03"
X013,3059035479,1600012149,XG,"miércoles, 10 de enero de 2024",0049B00000115,CPTO:DEBITO PARCIAL S/FB 49-327,"-173,364,887"
X013,3059041263,1600012182,XG,"viernes, 19 de enero de 2024",0020A00003071,DEBITO PARCIAL S/FA 20-13170,"-269,653,045"
X013,3065485516,1600012194,XG,"jueves, 25 de enero de 2024",0097A00000957,DEBITO PARCIAL S/FA 97-1141,"-344,657,245"
X013,3054666243,1600012206,XG,"viernes, 26 de enero de 2024",0020B00003713,CANCELAN 12.03.24,"-416,043,852"
X013,3054666243,1600012205,XG,"viernes, 26 de enero de 2024",0020B00003712,CPTO:DÉBITO TOTAL S/ FC B-20-23353 HEMODINAMIA USH,"-263494,2"
X013,3059035479,1600012208,XG,"lunes, 29 de enero de 2024",0020B00003715,CPTO:DEBITO PARCIAL S/FB 20-23120 - AMBULATORIO,"-323383,08"
X013,3054674125,1600012224,XG,"jueves, 1 de febrero de 2024",0097A00000965,DEBITO PARCIAL S/FA 97-1158,"-1,035,262,315"
X013,3071544581,1400019541,DZ,"miércoles, 7 de febrero de 2024",0004X00002499,REALIZADO - OSPTF - COMPRA PROTESIS SIN FC,-3100000
X013,3054674125,1600012256,XG,"miércoles, 14 de febrero de 2024",0097A00000967,CPTO:DEBITO TOTAL - ERROR EN MONTO FACTURADO,"-2,901,783,556"
X013,3071587446,1600012269,XG,"viernes, 16 de febrero de 2024",0020A00003107,CPTO:ANULA FC A-20-13488 -ERROR EN EL MONTO,"-1,474,566,401"
X013,3071522673,1400019676,DZ,"viernes, 16 de febrero de 2024",0004X00002634,20-13221 PAGO A CUENTA 26.02.24,-1500000
X013,3067923210,1600012284,XG,"martes, 20 de febrero de 2024",0020B00003728,ANULA FC B-20-23587,"-221,989,445"
X013,3071522673,1400019674,DZ,"lunes, 26 de febrero de 2024",0004X00002632,20-13087 PAGO A CUENTA 26.02.24,-1700000
X013,3059041263,1600012329,XG,"martes, 27 de febrero de 2024",0020A00003136,CPTO:DÉBITO PARCIAL S/FA 20-13320 - SIN USO,"-235,451,874"
X013,3071544581,1400019603,DZ,"martes, 27 de febrero de 2024",0004X00002561,PAGO PARCIAL FC 20-23343,"-12,431,966,353"
X013,3059041263,1600012345,XG,"miércoles, 28 de febrero de 2024",0020A00003138,CPTO:DÉBITO PARCIAL S/FA 20-13320 INTERNACIONES Y,"-218,339,107"
X013,2023670839,1600012338,XG,"miércoles, 28 de febrero de 2024",0050A00000013,ERROR FACTURA MAL CARGADA,"-20236708,3"
X013,3071304500,1400019666,DZ,"jueves, 29 de febrero de 2024",0004X00002624,ANTICIPO FC 13326/1185/14,"-990449,7"
X013,3071522673,1400019728,DZ,"lunes, 4 de marzo de 2024",0004X00002686,20-13087 PAGO A CUENTA 05.03.24,-1700000
X013,3059041263,1600012355,XG,"lunes, 4 de marzo de 2024",0020A00003140,CPTO:DEBITO PARCIAL S/FA 20-13320,"-364,813,981"
X013,3059035479,1600012487,XG,"lunes, 4 de marzo de 2024",0020B00003742,CMTR:ANULA FACTURA 20-23718,"-690,966,642"
X013,3059035479,1400019768,DZ,"jueves, 7 de marzo de 2024",0004X00002726,FC 20-23120 - ANTICIPO RECIBIDO $75 MM EN DIC 2023,"-1,274,197,667"
X013,3059035479,1400019767,DZ,"jueves, 7 de marzo de 2024",0004X00002725,REALIZADO - SANCOR ANTICIPO,-5000000
X013,3069156146,1400019796,DZ,"martes, 12 de marzo de 2024",0004X00002754,REALIZADO - ACRED. SIN DETALLE - MAIL 28.03/25.04,"-205,258,887"
X013,3054674125,1600012376,XG,"martes, 12 de marzo de 2024",0097A00000982,CPTO:DEBITO TOTAL - ERROR EN MONTO FACTURADO,"-234,268,145"
X013,3059035479,1600012395,XG,"miércoles, 13 de marzo de 2024",0020B00003752,DEBITO PARCIAL S/FB 20-23388,"-170,959,357"
X013,3071587446,1600012446,XG,"martes, 19 de marzo de 2024",0020A00003156,CANCELAN 28.03,"-593,019,018"
X013,3065485516,1600012483,XG,"martes, 19 de marzo de 2024",0097A00000987,CPTO:DEBITO PARCIAL S/FA 97-1181,"-1,474,884,244"
X013,3071587446,1400019823,DZ,"martes, 26 de marzo de 2024",0004X00002781,REALIZADO - SALDO A FAVOR MAIL 3.4.24,"-205872,76"
