FECHA;REF.;LET.;SUC.;NUM.;DEBE;HABER;SALDO;CONCEPTO;EMPRESA;FECHA ENTREGA;ClaveCtaCtte
02/01/2024;FA;A;20;13234;35800,41;0;360829,803;FACTURACION DE SERVICIOS AL  3/12/2023;514 BAHIA SALUD S.R.L.;;20240102-35800,41
02/01/2024;FA;A;20;13235;18404,91;0;379234,714;FACTURACION DE SERVICIOS AL  4/12/2023;514 BAHIA SALUD S.R.L.;;20240102-18404,91
02/01/2024;FA;A;20;13236;34751,55;0;413986,262;FACTURACION DE SERVICIOS AL  5/12/2023;514 BAHIA SALUD S.R.L.;;20240102-34751,55
02/01/2024;FA;A;20;13237;12108,1;0;426094,358;FACTURACION DE SERVICIOS AL  6/12/2023;514 BAHIA SALUD S.R.L.;;20240102-12108,1
02/01/2024;FA;A;20;13238;28454,73;0;454549,091;FACTURACION DE SERVICIOS AL  7/12/2023;514 BAHIA SALUD S.R.L.;;20240102-28454,73
02/01/2024;FA;A;20;13239;59935,08;0;514484,166;FACTURACION DE SERVICIOS AL  8/12/2023;514 BAHIA SALUD S.R.L.;;20240102-59935,08
02/01/2024;FA;A;20;13240;42592,23;0;557076,392;FACTURACION DE SERVICIOS AL  9/12/2023;514 BAHIA SALUD S.R.L.;;20240102-42592,23
02/01/2024;FA;A;20;13241;142068,33;0;699144,718;FACTURACION DE SERVICIOS AL  1/01/2024;514 BAHIA SALUD S.R.L.;;20240102-142068,33
02/01/2024;FA;A;20;13242;20381,96;0;719526,681;FACTURACION DE SERVICIOS AL  2/12/2023;514 BAHIA SALUD S.R.L.;;20240102-20381,96
02/01/2024;FA;A;20;13243;90709,82;0;810236,5;FACTURACION DE SERVICIOS AL  1/12/2023;514 BAHIA SALUD S.R.L.;;20240102-90709,82
03/01/2024;FA;A;20;13245;100134,56;0;105703,466;FACTURACION DE SERVICIOS AL  1/01/2024;514 BAHIA SALUD S.R.L.;;20240103-100134,56
03/01/2024;FA;A;20;13246;18364,65;0;124068,119;FACTURACION DE SERVICIOS AL  3/01/2024;514 BAHIA SALUD S.R.L.;;20240103-18364,65
03/01/2024;FA;A;20;13247;37295,36;0;161363,475;FACTURACION DE SERVICIOS AL  4/01/2024;514 BAHIA SALUD S.R.L.;;20240103-37295,36
03/01/2024;FA;A;20;13248;78374,89;0;239738,361;FACTURACION DE SERVICIOS AL  5/01/2024;514 BAHIA SALUD S.R.L.;;20240103-78374,89
03/01/2024;FA;A;20;13249;12108,1;0;251846,457;FACTURACION DE SERVICIOS AL  6/01/2024;514 BAHIA SALUD S.R.L.;;20240103-12108,1
03/01/2024;FA;A;20;13250;130759,95;0;382606,404;FACTURACION DE SERVICIOS AL 29/01/2024;514 BAHIA SALUD S.R.L.;;20240103-130759,95
03/01/2024;FA;A;20;13251;474979,11;0;857585,518;FACTURACION DE SERVICIOS AL 28/01/2024;514 BAHIA SALUD S.R.L.;;20240103-474979,11
04/01/2024;FA;A;20;13253;10090,08;0;872314,636;FACTURACION DE SERVICIOS AL  1/01/2024;514 BAHIA SALUD S.R.L.;;20240104-10090,08
04/01/2024;FA;A;20;13254;12108,1;0;884422,732;FACTURACION DE SERVICIOS AL  2/01/2024;514 BAHIA SALUD S.R.L.;;20240104-12108,1
04/01/2024;FA;A;20;13255;184671,72;0;69094,447;FACTURACION DE SERVICIOS AL 28/01/2024;514 BAHIA SALUD S.R.L.;;20240104-184671,720
05/01/2024;FA;A;20;13256;13117,1;0;316363,492;FACTURACION DE SERVICIOS AL  1/01/2024;514 BAHIA SALUD S.R.L.;;20240105-13117,1
08/01/2024;FA;A;20;13258;11698,83;0;105987,206;FACTURACION DE SERVICIOS AL  1/01/2024;514 BAHIA SALUD S.R.L.;;20240108-11698,83
09/01/2024;FA;A;20;13263;39836,44;0;859299,352;FACTURACION DE SERVICIOS AL  1/01/2024;514 BAHIA SALUD S.R.L.;;20240109-39836,44
