FECHA;REF.;LET.;SUC.;NUM.;IMPORTE;EMPRESA;CONVENIO;TEXTO:FACTURA:1;TEXTO:FACTURA:2;TEXTO:NOTA:1;TEXTO:NOTA:2;ClaveFactura
02/01/2024;FA;A;20;13234;35800,411;514 - BAHIA SALUD S.R.L.;1614 - EXTRANJEROS;IMPORTE CORRESPONDIENTE A PRESTACIONES MEDICAS;EFECTUADAS A SU SOLICITUD .-;por prestaciones efectuadas a su solicitud .-;PRESTACIONES MEDICA - PTE_LASTIMOSA MARY ANN SABEJON;20240102-35800,41
02/01/2024;FA;A;20;13235;18404,911;514 - BAHIA SALUD S.R.L.;1614 - EXTRANJEROS;IMPORTE CORRESPONDIENTE A PRESTACIONES MEDICAS;EFECTUADAS A SU SOLICITUD .-;por prestaciones efectuadas a su solicitud .-;PRESTACIONES MEDICAS - PTE_CAMPAÑA ARAOS HECTOR LUIS;20240102-18404,91
02/01/2024;FA;A;20;13236;34751,548;514 - BAHIA SALUD S.R.L.;1614 - EXTRANJEROS;IMPORTE CORRESPONDIENTE A PRESTACIONES MEDICAS;EFECTUADAS A SU SOLICITUD .-;por prestaciones efectuadas a su solicitud .-;PRESTACIONES MEDICAS - PTE_CASOLI PEDRO FEDERICO;20240102-34751,55
02/01/2024;FA;A;20;13237;12108,096;514 - BAHIA SALUD S.R.L.;1614 - EXTRANJEROS;IMPORTE CORRESPONDIENTE A PRESTACIONES MEDICAS;EFECTUADAS A SU SOLICITUD .-;por prestaciones efectuadas a su solicitud .-;PRESTACIONES MEDICAS - PTE_SAMPALLO ANIBAL MARTIN;20240102-12108,1
02/01/2024;FA;A;20;13238;28454,733;514 - BAHIA SALUD S.R.L.;1614 - EXTRANJEROS;IMPORTE CORRESPONDIENTE A PRESTACIONES MEDICAS;EFECTUADAS A SU SOLICITUD .-;por prestaciones efectuadas a su solicitud .-;PRESTACIONES MEDICAS - PTE_NELLY VILLEGAS MONDRAGON;20240102-28454,73
02/01/2024;FA;A;20;13239;59935,075;514 - BAHIA SALUD S.R.L.;1614 - EXTRANJEROS;IMPORTE CORRESPONDIENTE A PRESTACIONES MEDICAS;EFECTUADAS A SU SOLICITUD .-;por prestaciones efectuadas a su solicitud .-;PRESTACIONES MEDICAS - PTE_NAES MOHAMED;20240102-59935,08
02/01/2024;FA;A;20;13240;42592,226;514 - BAHIA SALUD S.R.L.;1614 - EXTRANJEROS;IMPORTE CORRESPONDIENTE A PRESTACIONES MEDICAS;EFECTUADAS A SU SOLICITUD .-;por prestaciones efectuadas a su solicitud .-;PRESTACIONES MEDICAS - PTE_ANTOLINE CARLOS MITCHELL;20240102-42592,23
02/01/2024;FA;A;20;13241;142068,326;514 - BAHIA SALUD S.R.L.;1614 - EXTRANJEROS;IMPORTE CORRESPONDIENTE A PRESTACIONES MEDICAS;EFECTUADAS A SU SOLICITUD .-;por prestaciones efectuadas a su solicitud .-;PRESTACIONES MEDICAS - PTE_WILLIS MARY ANNA;20240102-142068,33
02/01/2024;FA;A;20;13242;20381,963;514 - BAHIA SALUD S.R.L.;1614 - EXTRANJEROS;IMPORTE CORRESPONDIENTE A PRESTACIONES MEDICAS;EFECTUADAS A SU SOLICITUD .-;por prestaciones efectuadas a su solicitud .-;PRESTACIONES MEDICAS - PTE_JENSEN KARIN;20240102-20381,96
02/01/2024;FA;A;20;13243;90709,819;514 - BAHIA SALUD S.R.L.;1614 - EXTRANJEROS;IMPORTE CORRESPONDIENTE A PRESTACIONES MEDICAS;EFECTUADAS A SU SOLICITUD .-;por prestaciones efectuadas a su solicitud .-;PRESTACIONES MEDICAS - PTE_AGRAVIA CHRISTIAN GIMENA;20240102-90709,82
