Cliente;Asignación;Nº documento;Clase de documento;Fecha de documento;Fe.contabilización;Importe en moneda local;Referencia;Doc.compensación;Cuenta de mayor;Texto;ClaveSap
3068436191;202402210929283426;1800074376;XR;21/02/2024;21/02/2024;1235;0020B00023596;1400020108;1030000;;20240221-1235
3068436191;202402220846083499;1800074443;XR;22/02/2024;22/02/2024;1235;0020B00023646;1400020108;1030000;;20240222-1235
3068436191;202402211348223455;1800074404;XR;21/02/2024;21/02/2024;1235;0020B00023616;1400020108;1030000;;20240221-1235
3068436191;202403271123280182;1800075088;XR;27/03/2024;27/03/2024;1235;0020B00023876;1400020108;1030000;;20240327-1235
3068436191;202402220910133506;1800074450;XR;22/02/2024;22/02/2024;1235;0020B00023651;1400020108;1030000;;20240222-1235
3068436191;202402211633193494;1800074438;XR;21/02/2024;21/02/2024;1235;0020B00023643;1400020108;1030000;;20240221-1235
3068436191;202403271111320179;1800075085;XR;27/03/2024;27/03/2024;1235;0020B00023873;1400020108;1030000;;20240327-1235
3068436191;202403271243230195;1800075101;XR;27/03/2024;27/03/2024;1235;0020B00023889;1400020108;1030000;;20240327-1235
3068436191;202403271104310177;1800075083;XR;27/03/2024;27/03/2024;1235;0020B00023871;1400020108;1030000;;20240327-1235
3068436191;202402211617413490;1800074434;XR;21/02/2024;21/02/2024;2152,28;0020B00023639;1400020108;1030000;;20240221-2152,28
3068436191;202402211611003488;1800074432;XR;21/02/2024;21/02/2024;2275;0020B00023635;1400020108;1030000;;20240221-2275
3068436191;202403271246260196;1800075102;XR;27/03/2024;27/03/2024;2470;0020B00023890;1400020108;1030000;;20240327-2470
3068436191;202403271054380174;1800075080;XR;27/03/2024;27/03/2024;2470;0020B00023868;1400020108;1030000;;20240327-2470
3068436191;202403271211540187;1800075093;XR;27/03/2024;27/03/2024;3257,28;0020B00023881;1400020108;1030000;;20240327-3257,28
3068436191;202402211249033447;1800074396;XR;21/02/2024;21/02/2024;3510;0020B00023611;1400020108;1030000;;20240221-3510
3068436191;202403271249540197;1800075103;XR;27/03/2024;27/03/2024;3575;0020B00023891;1400020108;1030000;;20240327-3575
3068436191;202402211259033449;1800074398;XR;21/02/2024;21/02/2024;3705;0020B00023613;1400020108;1030000;;20240221-3705
3068436191;202403271227370192;1800075098;XR;27/03/2024;27/03/2024;3705;0020B00023886;1400020108;1030000;;20240327-3705
3068436191;202403271221300190;1800075096;XR;27/03/2024;27/03/2024;4109,56;0020B00023884;1400020108;1030000;;20240327-4109,56
3068436191;202402211623513493;1800074437;XR;21/02/2024;21/02/2024;4175,773;0020B00023642;1400020108;1030000;;20240221-4175,77
3068436191;202402210935563427;1800074377;XR;21/02/2024;21/02/2024;4175,773;0020B00023597;1400020108;1030000;;20240221-4175,77
3068436191;202402211244363446;1800074395;XR;21/02/2024;21/02/2024;4615;0020B00023610;1400020108;1030000;;20240221-4615
3068436191;202402211344083454;1800074403;XR;21/02/2024;21/02/2024;4940;0020B00023615;1400020108;1030000;;20240221-4940
3068436191;202403270912350166;1800075072;XR;27/03/2024;27/03/2024;5850;0020B00023860;1400020108;1030000;;20240327-5850
3068436191;202402220852413501;1800074445;XR;22/02/2024;22/02/2024;5850;0020B00023647;1400020108;1030000;;20240222-5850
3068436191;202402211400293458;1800074407;XR;21/02/2024;21/02/2024;5915;0020B00023619;1400020108;1030000;;20240221-5915
3068436191;202402211639163496;1800074440;XR;21/02/2024;21/02/2024;6240;0020B00023644;1400020108;1030000;;20240221-6240
3068436191;202402211429203468;1800074415;XR;21/02/2024;21/02/2024;6500;0020B00023626;1400020108;1030000;;20240221-6500
3068436191;202403271238240194;1800075100;XR;27/03/2024;27/03/2024;6565;0020B00023888;1400020108;1030000;;20240327-6565
3068436191;202403271119340181;1800075087;XR;27/03/2024;27/03/2024;7020;0020B00023875;1400020108;1030000;;20240327-7020
3068436191;202403271254280198;1800075104;XR;27/03/2024;27/03/2024;7085;0020B00023892;1400020108;1030000;;20240327-7085
3068436191;202402211056563440;1800074389;XR;21/02/2024;21/02/2024;7085;0020B00023605;1400020108;1030000;;20240221-7085
3068436191;202402220857563503;1800074447;XR;22/02/2024;22/02/2024;7085;0020B00023648;1400020108;1030000;;20240222-7085
3068436191;202402220837353498;1800074442;XR;22/02/2024;22/02/2024;7150;0020B00023645;1400020108;1030000;;20240222-7150
3068436191;202403271226240191;1800075097;XR;27/03/2024;27/03/2024;7280;0020B00023885;1400020108;1030000;;20240327-7280
3068436191;202403271114100180;1800075086;XR;27/03/2024;27/03/2024;7540;0020B00023874;1400020108;1030000;;20240327-7540
3068436191;202402211015253435;1800074384;XR;21/02/2024;21/02/2024;8002,28;0020B00023602;1400020108;1030000;;20240221-8002,28
3068436191;202402211353013456;1800074405;XR;21/02/2024;21/02/2024;8320;0020B00023617;1400020108;1030000;;20240221-8320
3068436191;202402210955163432;1800074381;XR;21/02/2024;21/02/2024;8320;0020B00023599;1400020108;1030000;;20240221-8320
3068436191;202402211421033466;1800074413;XR;21/02/2024;21/02/2024;8320;0020B00023624;1400020108;1030000;;20240221-8320
3068436191;202403271107280178;1800075084;XR;27/03/2024;27/03/2024;8320;0020B00023872;1400020108;1030000;;20240327-8320
3068436191;202403271022310171;1800075077;XR;27/03/2024;27/03/2024;8320;0020B00023865;1400020108;1030000;;20240327-8320
3068436191;202402211405293459;1800074408;XR;21/02/2024;21/02/2024;8320;0020B00023620;1400020108;1030000;;20240221-8320
3068436191;202402211102363442;1800074391;XR;21/02/2024;21/02/2024;8970;0020B00023607;1400020108;1030000;;20240221-8970
3068436191;202403271027360172;1800075078;XR;27/03/2024;27/03/2024;9237,28;0020B00023866;1400020108;1030000;;20240327-9237,28
3068436191;202403271056560175;1800075081;XR;27/03/2024;27/03/2024;9900,28;0020B00023869;1400020108;1030000;;20240327-9900,28
3068436191;202402211410033461;1800074410;XR;21/02/2024;21/02/2024;10291,84;0020B00023622;1400020108;1030000;;20240221-10291,84
3068436191;202403271235580193;1800075099;XR;27/03/2024;27/03/2024;10472,28;0020B00023887;1400020108;1030000;;20240327-10472,28
3068436191;202402211303303450;1800074399;XR;21/02/2024;21/02/2024;11700;0020B00023614;1400020108;1030000;;20240221-11700
3068436191;202402211516263478;1800074423;XR;21/02/2024;21/02/2024;14170;0020B00023631;1400020108;1030000;;20240221-14170
3068436191;202403271130300184;1800075090;XR;27/03/2024;27/03/2024;14820;0020B00023878;1400020108;1030000;;20240327-14820
3068436191;202402210949453431;1800074380;XR;21/02/2024;21/02/2024;14820;0020B00023598;1400020108;1030000;;20240221-14820
