EMPRESA;ClaveCtaCtte;SAP- Rep Deudores.ClaveSap;FECHA;DEBE;HABER;SALDO
200 PARTICULARES;20240227-17290,3;20240227-17290,3;martes, 27 de febrero de 2024;17290,3;0;97955,781
200 PARTICULARES;20240227-27450;20240227-27450;martes, 27 de febrero de 2024;27450;0;623302,281
200 PARTICULARES;20240227-17232,4;20240227-17232,4;martes, 27 de febrero de 2024;17232,4;0;595852,281
200 PARTICULARES;20240227-1534,1;20240227-1534,1;martes, 27 de febrero de 2024;1534,1;0;80665,481
200 PARTICULARES;20240227-17700;20240227-17700;martes, 27 de febrero de 2024;17700;0;214272,581
200 PARTICULARES;20240227-19200;20240227-19200;martes, 27 de febrero de 2024;19200;0;956931,881
200 PARTICULARES;20240227-18900;20240227-18900;martes, 27 de febrero de 2024;18900;0;320946,381
200 PARTICULARES;20240227-95325;20240227-95325;martes, 27 de febrero de 2024;95325;0;726098,881
200 PARTICULARES;20240227-19650;20240227-19650;martes, 27 de febrero de 2024;19650;0;780755,481
200 PARTICULARES;20240227-19650;20240227-19650;martes, 27 de febrero de 2024;19650;0;780755,481
200 PARTICULARES;20240227-19650;20240227-19650;martes, 27 de febrero de 2024;19650;0;17418,481
200 PARTICULARES;20240227-19650;20240227-19650;martes, 27 de febrero de 2024;19650;0;17418,481
200 PARTICULARES;20240227-39650;20240227-39650;martes, 27 de febrero de 2024;39650;0;145852,381
200 PARTICULARES;20240227-71700;20240227-71700;martes, 27 de febrero de 2024;71700;0;26102,381
200 PARTICULARES;20240227-160161,3;20240227-160161,3;martes, 27 de febrero de 2024;160161,3;0;935420,481
200 PARTICULARES;20240227-61167,7;20240227-61167,7;martes, 27 de febrero de 2024;61167,7;0;852273,181
200 PARTICULARES;20240227-37625,9;20240227-37625,9;martes, 27 de febrero de 2024;37625,9;0;141581,681
200 PARTICULARES;20240227-54165,4;20240227-54165,4;martes, 27 de febrero de 2024;54165,4;0;268437,981
200 PARTICULARES;20240227-47739,2;20240227-47739,2;martes, 27 de febrero de 2024;47739,2;0;682079,981
200 PARTICULARES;20240227-24600;20240227-24600;martes, 27 de febrero de 2024;24600;0;568587,381
200 PARTICULARES;20240227-41765,7;20240227-41765,7;martes, 27 de febrero de 2024;41765,7;0;682224,281
200 PARTICULARES;20240227-20236708,3;20240227-20236708,3;martes, 27 de febrero de 2024;20236708,3;0;918932,581
200 PARTICULARES;20240227-6600;20240227-6600;martes, 27 de febrero de 2024;6600;0;302046,381
200 PARTICULARES;20240227-47523,7;20240227-47523,7;martes, 27 de febrero de 2024;47523,7;0;138146,181
200 PARTICULARES;20240227-26250;20240227-26250;martes, 27 de febrero de 2024;26250;0;749034,281
200 PARTICULARES;20240227-85390,6;20240227-85390,6;martes, 27 de febrero de 2024;85390,6;0;90622,481
200 PARTICULARES;20240227-65208,7;20240227-65208,7;martes, 27 de febrero de 2024;65208,7;0;917481,881
200 PARTICULARES;20240227-109851,8;20240227-109851,8;martes, 27 de febrero de 2024;109851,8;0;353874,481
200 PARTICULARES;20240227-3450;20240227-3450;martes, 27 de febrero de 2024;3450;0;960381,881
200 PARTICULARES;20240227-3450;20240227-3450;martes, 27 de febrero de 2024;3450;0;960381,881
200 PARTICULARES;20240227-3450;20240227-3450;martes, 27 de febrero de 2024;3450;0;634076,981
200 PARTICULARES;20240227-3450;20240227-3450;martes, 27 de febrero de 2024;3450;0;634076,981
200 PARTICULARES;20240227-44850;20240227-44850;martes, 27 de febrero de 2024;44850;0;5231,881
200 PARTICULARES;20240227-79025,5;20240227-79025,5;martes, 27 de febrero de 2024;79025,5;0;761105,481
200 PARTICULARES;20240227-11400;20240227-11400;martes, 27 de febrero de 2024;11400;0;28818,481
200 PARTICULARES;20240227-11400;20240227-11400;martes, 27 de febrero de 2024;11400;0;28818,481
200 PARTICULARES;20240227-11400;20240227-11400;martes, 27 de febrero de 2024;11400;0;426646,281
200 PARTICULARES;20240227-11400;20240227-11400;martes, 27 de febrero de 2024;11400;0;426646,281
200 PARTICULARES;20240227-91631,4;20240227-91631,4;martes, 27 de febrero de 2024;91631,4;0;893255,881
200 PARTICULARES;20240227-44533,4;20240227-44533,4;martes, 27 de febrero de 2024;44533,4;0;630626,981
200 PARTICULARES;20240227-83761,2;20240227-83761,2;martes, 27 de febrero de 2024;83761,2;0;586093,581
200 PARTICULARES;20240227-72799,2;20240227-72799,2;martes, 27 de febrero de 2024;72799,2;0;234930,881
200 PARTICULARES;20240227-75525,6;20240227-75525,6;martes, 27 de febrero de 2024;75525,6;0;801624,481
200 PARTICULARES;20240227-22800;20240227-22800;martes, 27 de febrero de 2024;22800;0;548824,481
200 PARTICULARES;20240227-14400;20240227-14400;martes, 27 de febrero de 2024;14400;0;175654,681
200 PARTICULARES;20240227-34950;20240227-34950;martes, 27 de febrero de 2024;34950;0;603537,381
200 PARTICULARES;20240227-20550;20240227-20550;martes, 27 de febrero de 2024;20550;0;162131,681
200 PARTICULARES;20240227-72829,2;20240227-72829,2;martes, 27 de febrero de 2024;72829,2;0;437503,681
200 PARTICULARES;20240227-52200;20240227-52200;martes, 27 de febrero de 2024;52200;0;388746,381
200 PARTICULARES;20240227-17550;20240227-17550;martes, 27 de febrero de 2024;17550;0;526024,481
200 PARTICULARES;20240227-32478,4;20240227-32478,4;martes, 27 de febrero de 2024;32478,4;0;636015,781
200 PARTICULARES;20240227-85481,7;20240227-85481,7;martes, 27 de febrero de 2024;85481,7;0;415246,281
200 PARTICULARES;20240227-20250;20240227-20250;martes, 27 de febrero de 2024;20250;0;937731,881
200 PARTICULARES;20240227-6000;20240227-6000;martes, 27 de febrero de 2024;6000;0;103955,781
200 PARTICULARES;20240227-12600;20240227-12600;martes, 27 de febrero de 2024;12600;0;476832,381
200 PARTICULARES;20240227-29795,4;20240227-29795,4;martes, 27 de febrero de 2024;29795,4;0;578619,881
200 PARTICULARES;20240227-15720;20240227-15720;martes, 27 de febrero de 2024;15720;0;79131,381
200 PARTICULARES;20240227-34592,9;20240227-34592,9;martes, 27 de febrero de 2024;34592,9;0;63411,381
200 PARTICULARES;20240227-27008,4;20240227-27008,4;martes, 27 de febrero de 2024;27008,4;0;295446,381
200 PARTICULARES;20240227-4442,8;20240227-4442,8;martes, 27 de febrero de 2024;4442,8;0;640458,581
200 PARTICULARES;20240227-75486;20240227-75486;martes, 27 de febrero de 2024;75486;0;464232,381
200 PARTICULARES;20240227-30540,8;20240227-30540,8;martes, 27 de febrero de 2024;30540,8;0;965961,281
200 PARTICULARES;20240227-27640,3;20240227-27640,3;martes, 27 de febrero de 2024;27640,3;0;205622,681
200 PARTICULARES;20240227-38400;20240227-38400;martes, 27 de febrero de 2024;38400;0;244022,681
200 PARTICULARES;20240227-16650;20240227-16650;martes, 27 de febrero de 2024;16650;0;251580,881
200 PARTICULARES;20240227-10350;20240227-10350;martes, 27 de febrero de 2024;10350;0;791105,481
200 PARTICULARES;20240227-10350;20240227-10350;martes, 27 de febrero de 2024;10350;0;791105,481
200 PARTICULARES;20240227-10350;20240227-10350;martes, 27 de febrero de 2024;10350;0;261930,881
200 PARTICULARES;20240227-10350;20240227-10350;martes, 27 de febrero de 2024;10350;0;261930,881
200 PARTICULARES;20240227-25500;20240227-25500;martes, 27 de febrero de 2024;25500;0;502332,381
200 PARTICULARES;20240227-80100;20240227-80100;martes, 27 de febrero de 2024;80100;0;106202,381
200 PARTICULARES;20240227-40780;20240227-40780;martes, 27 de febrero de 2024;40780;0;302710,881
200 PARTICULARES;20240227-22587,5;20240227-22587,5;martes, 27 de febrero de 2024;22587,5;0;951914,881
200 PARTICULARES;20240227-15600;20240227-15600;martes, 27 de febrero de 2024;15600;0;336546,381
200 PARTICULARES;20240227-84989,1;20240227-84989,1;martes, 27 de febrero de 2024;84989,1;0;511635,381
200 PARTICULARES;20240227-31807,2;20240227-31807,2;martes, 27 de febrero de 2024;31807,2;0;997768,481
200 PARTICULARES;20240227-32352;20240227-32352;martes, 27 de febrero de 2024;32352;0;543987,381
200 PARTICULARES;20240227-40150;20240227-40150;martes, 27 de febrero de 2024;40150;0;477653,681
200 PARTICULARES;20240227-36071,5;20240227-36071,5;martes, 27 de febrero de 2024;36071,5;0;929327,381
200 PARTICULARES;20240227-2487,5;20240227-2487,5;martes, 27 de febrero de 2024;2487,5;0;954402,381
200 PARTICULARES;20240227-23108,5;20240227-23108,5;martes, 27 de febrero de 2024;23108,5;0;161254,681
200 PARTICULARES;20240227-26224,9;20240227-26224,9;martes, 27 de febrero de 2024;26224,9;0;775259,181
200 PARTICULARES;20240227-10800;20240227-10800;martes, 27 de febrero de 2024;10800;0;364674,481
200 PARTICULARES;20240227-27053,7;20240227-27053,7;martes, 27 de febrero de 2024;27053,7;0;329764,581
200 PARTICULARES;20240227-32130;20240227-32130;martes, 27 de febrero de 2024;32130;0;177982,381
200 PARTICULARES;20240227-13720,8;20240227-13720,8;martes, 27 de febrero de 2024;13720,8;0;491374,481
200 PARTICULARES;20240227-17100;20240227-17100;martes, 27 de febrero de 2024;17100;0;508474,481
200 PARTICULARES;20240227-11038,5;20240227-11038,5;martes, 27 de febrero de 2024;11038,5;0;634340,781
200 PARTICULARES;20240227-20917,9;20240227-20917,9;martes, 27 de febrero de 2024;20917,9;0;196572,581
200 PARTICULARES;20240227-88707,3;20240227-88707,3;martes, 27 de febrero de 2024;88707,3;0;722784,281
200 PARTICULARES;20240129-18496,2;20240129-18496,2;lunes, 29 de enero de 2024;18496,2;0;881163,787
200 PARTICULARES;20240129-24750;20240129-24750;lunes, 29 de enero de 2024;24750;0;760433,987
200 PARTICULARES;20240129-8467,4;20240129-8467,4;lunes, 29 de enero de 2024;8467,4;0;735683,987
200 PARTICULARES;20240129-2491,5;20240129-2491,5;lunes, 29 de enero de 2024;2491,5;0;-21167,313
200 PARTICULARES;20240129-19350;20240129-19350;lunes, 29 de enero de 2024;19350;0;319614,887
200 PARTICULARES;20240129-19200;20240129-19200;lunes, 29 de enero de 2024;19200;0;561280,687
200 PARTICULARES;20240129-21750;20240129-21750;lunes, 29 de enero de 2024;21750;0;101808,287
200 PARTICULARES;20240129-90347,8;20240129-90347,8;lunes, 29 de enero de 2024;90347,8;0;862667,587
200 PARTICULARES;20240129-21900;20240129-21900;lunes, 29 de enero de 2024;21900;0;348934,187
200 PARTICULARES;20240129-32704,2;20240129-32704,2;lunes, 29 de enero de 2024;32704,2;0;95457,987
200 PARTICULARES;20240129-80400;20240129-80400;lunes, 29 de enero de 2024;80400;0;961563,787
200 PARTICULARES;20240129-101130,6;20240129-101130,6;lunes, 29 de enero de 2024;101130,6;0;202938,887
200 PARTICULARES;20240129-58569,5;20240129-58569,5;lunes, 29 de enero de 2024;58569,5;0;701450,187
200 PARTICULARES;20240129-52697,8;20240129-52697,8;lunes, 29 de enero de 2024;52697,8;0;772319,787
200 PARTICULARES;20240129-65300,3;20240129-65300,3;lunes, 29 de enero de 2024;65300,3;0;300264,887
200 PARTICULARES;20240129-42613,5;20240129-42613,5;lunes, 29 de enero de 2024;42613,5;0;803047,487
200 PARTICULARES;20240129-23700;20240129-23700;lunes, 29 de enero de 2024;23700;0;346024,587
200 PARTICULARES;20240129-37157,5;20240129-37157,5;lunes, 29 de enero de 2024;37157,5;0;312124,587
200 PARTICULARES;20240129-3300;20240129-3300;lunes, 29 de enero de 2024;3300;0;206238,887
200 PARTICULARES;20240129-67539,5;20240129-67539,5;lunes, 29 de enero de 2024;67539,5;0;447938,787
200 PARTICULARES;20240129-23100;20240129-23100;lunes, 29 de enero de 2024;23100;0;416546,887
200 PARTICULARES;20240129-90391,9;20240129-90391,9;lunes, 29 de enero de 2024;90391,9;0;538330,687
200 PARTICULARES;20240129-61200;20240129-61200;lunes, 29 de enero de 2024;61200;0;642880,687
200 PARTICULARES;20240129-17550;20240129-17550;lunes, 29 de enero de 2024;17550;0;735800,187
200 PARTICULARES;20240129-114680,7;20240129-114680,7;lunes, 29 de enero de 2024;114680,7;0;310399,387
200 PARTICULARES;20240129-1650;20240129-1650;lunes, 29 de enero de 2024;1650;0;33573,287
200 PARTICULARES;20240129-81370;20240129-81370;lunes, 29 de enero de 2024;81370;0;817170,187
200 PARTICULARES;20240129-16634,8;20240129-16634,8;lunes, 29 de enero de 2024;16634,8;0;327034,187
200 PARTICULARES;20240129-55247,7;20240129-55247,7;lunes, 29 de enero de 2024;55247,7;0;206361,687
200 PARTICULARES;20240129-45175,6;20240129-45175,6;lunes, 29 de enero de 2024;45175,6;0;848223,087
200 PARTICULARES;20240129-64497,4;20240129-64497,4;lunes, 29 de enero de 2024;64497,4;0;912720,487
200 PARTICULARES;20240129-55442,6;20240129-55442,6;lunes, 29 de enero de 2024;55442,6;0;704021,987
200 PARTICULARES;20240129-65171,8;20240129-65171,8;lunes, 29 de enero de 2024;65171,8;0;151113,987
200 PARTICULARES;20240129-28950;20240129-28950;lunes, 29 de enero de 2024;28950;0;696016,587
200 PARTICULARES;20240129-14550;20240129-14550;lunes, 29 de enero de 2024;14550;0;80058,287
200 PARTICULARES;20240129-14550;20240129-14550;lunes, 29 de enero de 2024;14550;0;358414,887
200 PARTICULARES;20240129-10200;20240129-10200;lunes, 29 de enero de 2024;10200;0;322324,587
