FECHA,NUMERO DE SUCURSAL,NUMERO DE FACTURA,IMPORTE,FACTURA,NOMBRE_EMPRESA,NOMBRE_CONVENIO,NOTA_1_FACTURA,NOTA_2_FACTURA,NOTA_1,NOTA_2,TIPO DE FACTURA
"miércoles, 7 de febrero de 2024",20,13432,"27717,3",NC,15 - MEDLINK SA,190 - CON AUT. DE U.P.,CPTO:REFACTURACION PARCIAL - SOBRE FC A-20-12988,CMTR:,GENERADO MANUALMENTE SIN DETALLE,,A
"jueves, 28 de marzo de 2024",20,3770,"45292,26",NC,133 - O.S. P.E.D.Y C.,133 - UTEDYC,CPTO:DEBITO PARCIAL S/FB 20-23399 - INTERNACION Y AMBULATORIO,CMTR:,GENERADO MANUALMENTE SIN DETALLE,,B
"martes, 19 de marzo de 2024",20,3767,"117728,85",NC,49 - PAMI - I.N.S.S.J.P.-USH,1249 - O.P.(MODULOS/VARIOS),CPTO:DEBITO PARCIAL S/FB 20-23410 - FACTURACION II Y III,CMTR:,GENERADO MANUALMENTE SIN DETALLE,,B
"martes, 19 de marzo de 2024",20,3766,"11760,73",NC,49 - PAMI - I.N.S.S.J.P.-USH,1249 - O.P.(MODULOS/VARIOS),CPTO:DEBITO PARCIAL S/FB 20-23409 - FACTURACION II Y III,CMTR:,GENERADO MANUALMENTE SIN DETALLE,,B
"martes, 19 de marzo de 2024",20,3765,"9057,58",NC,113 - SWISS MEDICAL ART S.A.,113 - SMG ART,CPTO:DEBITO PARCIALS/FB 20-23535 - INTERNACION,CMTR:,GENERADO MANUALMENTE SIN DETALLE,,B
"martes, 19 de marzo de 2024",20,3764,"19531,11",NC,113 - SWISS MEDICAL ART S.A.,113 - SMG ART,CPTO:DEBITO PARCIAL S/FB 20-23530 - AMBULATORIO,CMTR:,GENERADO MANUALMENTE SIN DETALLE,,B
"martes, 19 de marzo de 2024",20,3763,"2120,23",NC,113 - SWISS MEDICAL ART S.A.,113 - SMG ART,CPTO:DEBITO PARCIAL S/FB 20-23500 - INTERNACION,CMTR:,GENERADO MANUALMENTE SIN DETALLE,,B
"viernes, 15 de marzo de 2024",20,3760,"86600,06",NC,49 - PAMI - I.N.S.S.J.P.-USH,1249 - O.P.(MODULOS/VARIOS),CPTO:DEBITO PARCIAL S/FA 20-23170,CMTR:,GENERADO MANUALMENTE SIN DETALLE,,B
"jueves, 14 de marzo de 2024",20,3758,"37538,09",NC,49 - PAMI - I.N.S.S.J.P.-USH,1249 - O.P.(MODULOS/VARIOS),CPTO:DEBITO PARCIAL S/FB 20-23169- M.P.M. OCT2023,CMTR:,GENERADO MANUALMENTE SIN DETALLE,,B
"jueves, 14 de marzo de 2024",20,3757,"31327,43",NC,49 - PAMI - I.N.S.S.J.P.-USH,1249 - O.P.(MODULOS/VARIOS),CPTO:DEBITO PARCIAL S/FB 20-23167 - M.P.M. AGOSTO 2023,CMTR:,GENERADO MANUALMENTE SIN DETALLE,,B
"jueves, 14 de marzo de 2024",20,3756,"37899,1",NC,25 - O.S DEL PODER JUDICIAL (0375),25 - PODER JUDICIAL,CPTO:DEBITO PARCIAL S/FB 20-23220 - INTERNACION Y AMBULATORIO,CMTR:,GENERADO MANUALMENTE SIN DETALLE,,B
"jueves, 14 de marzo de 2024",20,3755,"1156,44",NC,95 - PREVENCION ART (35450),95 - PREVENCION ART,CPTO:DEBITO PARCIAL S/FB 20-23001,CMTR:,GENERADO MANUALMENTE SIN DETALLE,,B
"miércoles, 13 de marzo de 2024",20,3754,"34906,8",NC,154 - OSTPCPH Y ARA (PASTELEROS),154 - PASTELEROS Y OTROS,CPTO:DEBITO PARCIAL S/FB 20-23608 - DIAG POR IMAGEN URGENCIAS,CMTR:,GENERADO MANUALMENTE SIN DETALLE,,B
"miércoles, 13 de marzo de 2024",20,3753,"2438,7",NC,154 - OSTPCPH Y ARA (PASTELEROS),154 - PASTELEROS Y OTROS,CPTO:DEBITO PARCIAL S/FB 20-23606 - INTERNACION Y AMBULATORIO,CMTR:,GENERADO MANUALMENTE SIN DETALLE,,B
"miércoles, 13 de marzo de 2024",20,3752,"170959,36",NC,144 - ASOCIACION MUTUAL SANCOR116190,144 - SANCOR,CPTO:DEBITO PARCIAL S/FB 20-23388,CMTR:,GENERADO MANUALMENTE SIN DETALLE,,B
"miércoles, 13 de marzo de 2024",20,3751,"9034,54",NC,144 - ASOCIACION MUTUAL SANCOR116190,144 - SANCOR,CPTO:DEBITO PARCIAL S/FB 20-23262 - INTERNACION,CMTR:,GENERADO MANUALMENTE SIN DETALLE,,B
"miércoles, 13 de marzo de 2024",20,3750,"115366,59",NC,113 - SWISS MEDICAL ART S.A.,113 - SMG ART,CPTO:DEBITO PARCIAL S/FB 20-23352,CMTR:,GENERADO MANUALMENTE SIN DETALLE,,B
"miércoles, 13 de marzo de 2024",20,3749,"123151,51",NC,113 - SWISS MEDICAL ART S.A.,113 - SMG ART,CPTO:DEBITO PARCIAL S/FB 20-23139 - AMBULATORIO,CMTR:,GENERADO MANUALMENTE SIN DETALLE,,B
"miércoles, 13 de marzo de 2024",20,3748,"16543,63",NC,113 - SWISS MEDICAL ART S.A.,1113,CPTO:DEBITO PARCIAL S/FB 20-23140 - STRO N°22300026442,CMTR:,GENERADO MANUALMENTE SIN DETALLE,,B
"miércoles, 13 de marzo de 2024",20,3747,"1755,12",NC,113 - SWISS MEDICAL ART S.A.,113 - SMG ART,CPTO:DEBITO PARCIAL S/FB 20-23138 - INTERNACION,CMTR:,GENERADO MANUALMENTE SIN DETALLE,,B
