FECHA,TIPO DE DOCUMENTO,TIPO DE FACTURA,NUMERO DE SUCURSAL,NUMERO DE FACTURA,IVA,DEBE,HABER,PAGOS,SALDO,CONCEPTO,COMENTARIO,EMPRESA,FECHA ENTREGA
"martes, 2 de enero de 2024",FA,A,20,13234,0,"35800,411",0,0,"360829,803",FACTURACION DE SERVICIOS AL  3/12/2023,,514 BAHIA SALUD S.R.L.,
"martes, 2 de enero de 2024",FA,A,20,13235,0,"18404,911",0,0,"379234,714",FACTURACION DE SERVICIOS AL  4/12/2023,,514 BAHIA SALUD S.R.L.,
"martes, 2 de enero de 2024",FA,A,20,13236,0,"34751,548",0,0,"413986,262",FACTURACION DE SERVICIOS AL  5/12/2023,,514 BAHIA SALUD S.R.L.,
"martes, 2 de enero de 2024",FA,A,20,13237,0,"12108,096",0,0,"426094,358",FACTURACION DE SERVICIOS AL  6/12/2023,,514 BAHIA SALUD S.R.L.,
"martes, 2 de enero de 2024",FA,A,20,13238,0,"28454,733",0,0,"454549,091",FACTURACION DE SERVICIOS AL  7/12/2023,,514 BAHIA SALUD S.R.L.,
"martes, 2 de enero de 2024",FA,A,20,13239,0,"59935,075",0,0,"514484,166",FACTURACION DE SERVICIOS AL  8/12/2023,,514 BAHIA SALUD S.R.L.,
"martes, 2 de enero de 2024",FA,A,20,13240,0,"42592,226",0,0,"557076,392",FACTURACION DE SERVICIOS AL  9/12/2023,,514 BAHIA SALUD S.R.L.,
"martes, 2 de enero de 2024",FA,A,20,13241,0,"142068,326",0,0,"699144,718",FACTURACION DE SERVICIOS AL  1/01/2024,,514 BAHIA SALUD S.R.L.,
"martes, 2 de enero de 2024",FA,A,20,13242,0,"20381,963",0,0,"719526,681",FACTURACION DE SERVICIOS AL  2/12/2023,,514 BAHIA SALUD S.R.L.,
"martes, 2 de enero de 2024",FA,A,20,13243,0,"90709,819",0,0,"810236,5",FACTURACION DE SERVICIOS AL  1/12/2023,,514 BAHIA SALUD S.R.L.,
"miércoles, 3 de enero de 2024",FA,A,20,13245,0,"100134,559",0,0,"105703,466",FACTURACION DE SERVICIOS AL  1/01/2024,,514 BAHIA SALUD S.R.L.,
"miércoles, 3 de enero de 2024",FA,A,20,13246,0,"18364,653",0,0,"124068,119",FACTURACION DE SERVICIOS AL  3/01/2024,,514 BAHIA SALUD S.R.L.,
"miércoles, 3 de enero de 2024",FA,A,20,13247,0,"37295,356",0,0,"161363,475",FACTURACION DE SERVICIOS AL  4/01/2024,,514 BAHIA SALUD S.R.L.,
"miércoles, 3 de enero de 2024",FA,A,20,13248,0,"78374,886",0,0,"239738,361",FACTURACION DE SERVICIOS AL  5/01/2024,,514 BAHIA SALUD S.R.L.,
"miércoles, 3 de enero de 2024",FA,A,20,13249,0,"12108,096",0,0,"251846,457",FACTURACION DE SERVICIOS AL  6/01/2024,,514 BAHIA SALUD S.R.L.,
"miércoles, 3 de enero de 2024",FA,A,20,13250,0,"130759,947",0,0,"382606,404",FACTURACION DE SERVICIOS AL 29/01/2024,,514 BAHIA SALUD S.R.L.,
"miércoles, 3 de enero de 2024",FA,A,20,13251,0,"474979,114",0,0,"857585,518",FACTURACION DE SERVICIOS AL 28/01/2024,,514 BAHIA SALUD S.R.L.,
"jueves, 4 de enero de 2024",FA,A,20,13253,0,"10090,08",0,0,"872314,636",FACTURACION DE SERVICIOS AL  1/01/2024,,514 BAHIA SALUD S.R.L.,
"jueves, 4 de enero de 2024",FA,A,20,13254,0,"12108,096",0,0,"884422,732",FACTURACION DE SERVICIOS AL  2/01/2024,,514 BAHIA SALUD S.R.L.,
"jueves, 4 de enero de 2024",FA,A,20,13255,0,"184671,715",0,0,"69094,447",FACTURACION DE SERVICIOS AL 28/01/2024,,514 BAHIA SALUD S.R.L.,
"viernes, 5 de enero de 2024",FA,A,20,13256,0,"13117,104",0,0,"316363,492",FACTURACION DE SERVICIOS AL  1/01/2024,,514 BAHIA SALUD S.R.L.,
"lunes, 8 de enero de 2024",FA,A,20,13258,0,"11698,83",0,0,"105987,206",FACTURACION DE SERVICIOS AL  1/01/2024,,514 BAHIA SALUD S.R.L.,
"martes, 9 de enero de 2024",FA,A,20,13263,0,"39836,443",0,0,"859299,352",FACTURACION DE SERVICIOS AL  1/01/2024,,514 BAHIA SALUD S.R.L.,
"martes, 9 de enero de 2024",FA,A,20,13264,0,"93837,744",0,0,"953137,096",FACTURACION DE SERVICIOS AL  2/01/2024,,514 BAHIA SALUD S.R.L.,
"martes, 9 de enero de 2024",FA,A,20,13265,0,"22683,71",0,0,"975820,806",FACTURACION DE SERVICIOS AL  3/01/2024,,514 BAHIA SALUD S.R.L.,
"jueves, 11 de enero de 2024",FA,A,20,13271,0,"12108,096",0,0,"760865,235",FACTURACION DE SERVICIOS AL  4/01/2024,,514 BAHIA SALUD S.R.L.,
"jueves, 11 de enero de 2024",FA,A,20,13272,0,"12108,096",0,0,"772973,331",FACTURACION DE SERVICIOS AL  5/01/2024,,514 BAHIA SALUD S.R.L.,
"jueves, 11 de enero de 2024",FA,A,20,13273,0,"12108,096",0,0,"785081,427",FACTURACION DE SERVICIOS AL  3/01/2024,,514 BAHIA SALUD S.R.L.,
"jueves, 11 de enero de 2024",FA,A,20,13274,0,"72106,132",0,0,"857187,559",FACTURACION DE SERVICIOS AL  2/01/2024,,514 BAHIA SALUD S.R.L.,
"viernes, 12 de enero de 2024",FA,A,20,13301,0,"12108,096",0,0,"68551,478",FACTURACION DE SERVICIOS AL  1/01/2024,,514 BAHIA SALUD S.R.L.,
"viernes, 12 de enero de 2024",FA,A,20,13302,0,"12108,096",0,0,"80659,574",FACTURACION DE SERVICIOS AL  2/01/2024,,514 BAHIA SALUD S.R.L.,
"viernes, 12 de enero de 2024",FA,A,20,13303,0,"12108,096",0,0,"92767,67",FACTURACION DE SERVICIOS AL  3/01/2024,,514 BAHIA SALUD S.R.L.,
"lunes, 15 de enero de 2024",FA,A,20,13304,0,"12108,096",0,0,"41077,707",FACTURACION DE SERVICIOS AL  1/01/2024,,514 BAHIA SALUD S.R.L.,
"lunes, 15 de enero de 2024",FA,A,20,13305,0,"7081,417",0,0,"48159,124",FACTURACION DE SERVICIOS AL  2/01/2024,,514 BAHIA SALUD S.R.L.,
"lunes, 15 de enero de 2024",FA,A,20,13306,0,"35780,628",0,0,"83939,752",FACTURACION DE SERVICIOS AL  3/01/2024,,514 BAHIA SALUD S.R.L.,
"miércoles, 17 de enero de 2024",FA,A,20,13334,0,"12108,096",0,0,"677346,318",FACTURACION DE SERVICIOS AL  1/01/2024,,514 BAHIA SALUD S.R.L.,
"miércoles, 17 de enero de 2024",FA,A,20,13335,0,"12108,096",0,0,"689454,414",FACTURACION DE SERVICIOS AL  2/01/2024,,514 BAHIA SALUD S.R.L.,
"miércoles, 17 de enero de 2024",FA,A,20,13336,0,"12108,096",0,0,"701562,51",FACTURACION DE SERVICIOS AL  3/01/2024,,514 BAHIA SALUD S.R.L.,
"miércoles, 17 de enero de 2024",FA,A,20,13337,0,"28494,991",0,0,"730057,501",FACTURACION DE SERVICIOS AL  4/01/2024,,514 BAHIA SALUD S.R.L.,
"jueves, 18 de enero de 2024",FA,A,20,13348,0,"12108,096",0,0,"402258,412",FACTURACION DE SERVICIOS AL  1/01/2024,,514 BAHIA SALUD S.R.L.,
"viernes, 19 de enero de 2024",FA,A,20,13359,0,"45096,995",0,0,"636572,409",FACTURACION DE SERVICIOS AL  1/01/2024,,514 BAHIA SALUD S.R.L.,
"viernes, 19 de enero de 2024",FA,A,20,13360,0,"24701,726",0,0,"647552,895",FACTURACION DE SERVICIOS AL  2/01/2024,,514 BAHIA SALUD S.R.L.,
"lunes, 22 de enero de 2024",FA,A,20,13361,0,"196555,815",0,0,"173206,279",FACTURACION DE SERVICIOS AL 28/01/2024,,514 BAHIA SALUD S.R.L.,
"martes, 23 de enero de 2024",FA,A,20,13373,0,"93837,744",0,0,"636554,727",FACTURACION DE SERVICIOS AL  1/01/2024,,514 BAHIA SALUD S.R.L.,
"martes, 23 de enero de 2024",FA,A,20,13374,0,"58927,482",0,0,"695482,209",FACTURACION DE SERVICIOS AL  2/01/2024,,514 BAHIA SALUD S.R.L.,
"jueves, 25 de enero de 2024",FA,A,20,13382,0,"56903,096",0,0,"-27483,41",FACTURACION DE SERVICIOS AL  1/01/2024,,514 BAHIA SALUD S.R.L.,
"jueves, 25 de enero de 2024",FA,A,20,13383,0,"59062,283",0,0,"31578,873",FACTURACION DE SERVICIOS AL  2/01/2024,,514 BAHIA SALUD S.R.L.,
"jueves, 25 de enero de 2024",FA,A,20,13384,0,"37818,427",0,0,"69397,3",FACTURACION DE SERVICIOS AL  4/01/2024,,514 BAHIA SALUD S.R.L.,
"jueves, 25 de enero de 2024",FA,A,20,13385,0,"56903,096",0,0,"126300,396",FACTURACION DE SERVICIOS AL  5/01/2024,,514 BAHIA SALUD S.R.L.,
"jueves, 25 de enero de 2024",FA,A,20,13386,0,"12108,096",0,0,"138334,778",FACTURACION DE SERVICIOS AL  6/01/2024,,514 BAHIA SALUD S.R.L.,
"lunes, 29 de enero de 2024",FA,A,20,13391,0,"187675,488",0,0,"424817,277",FACTURACION DE SERVICIOS AL  1/01/2024,,514 BAHIA SALUD S.R.L.,
"lunes, 29 de enero de 2024",FA,A,20,13392,0,"10090,08",0,0,"434907,357",FACTURACION DE SERVICIOS AL  2/01/2024,,514 BAHIA SALUD S.R.L.,
"martes, 30 de enero de 2024",FA,A,20,13410,0,"12108,096",0,0,"991999,077",FACTURACION DE SERVICIOS AL  1/01/2024,,514 BAHIA SALUD S.R.L.,
"martes, 30 de enero de 2024",FA,A,20,13411,0,"185657,472",0,0,"177656,549",FACTURACION DE SERVICIOS AL  2/01/2024,,514 BAHIA SALUD S.R.L.,
"martes, 30 de enero de 2024",FA,A,20,13412,0,"12108,096",0,0,"189764,645",FACTURACION DE SERVICIOS AL  3/01/2024,,514 BAHIA SALUD S.R.L.,
"miércoles, 31 de enero de 2024",FA,A,20,13413,0,"12108,096",0,0,"963569,352",FACTURACION DE SERVICIOS AL  1/01/2024,,514 BAHIA SALUD S.R.L.,
"miércoles, 31 de enero de 2024",FA,A,20,13416,0,"512340,747",0,0,"562780,515",FACTURACION DE SERVICIOS AL 28/01/2024,,514 BAHIA SALUD S.R.L.,
"miércoles, 31 de enero de 2024",FA,A,20,13417,0,"566710,569",0,0,"129491,084",FACTURACION DE SERVICIOS AL 31/01/2024,,514 BAHIA SALUD S.R.L.,
"jueves, 1 de febrero de 2024",FA,A,20,13420,0,"273940,717",0,0,"539651,707",FACTURACION DE SERVICIOS AL  1/01/2024,,514 BAHIA SALUD S.R.L.,
"viernes, 2 de febrero de 2024",FA,A,20,13423,0,"12108,096",0,0,"679070,164",FACTURACION DE SERVICIOS AL  1/02/2024,,514 BAHIA SALUD S.R.L.,
"lunes, 5 de febrero de 2024",FA,A,20,13424,0,"12108,096",0,0,"794726,159",FACTURACION DE SERVICIOS AL  1/02/2024,,514 BAHIA SALUD S.R.L.,
"lunes, 5 de febrero de 2024",FA,A,20,13425,0,"12593,63",0,0,"807319,789",FACTURACION DE SERVICIOS AL  2/02/2024,,514 BAHIA SALUD S.R.L.,
"martes, 6 de febrero de 2024",FA,A,20,13428,0,"30063,483",0,0,"199472,043",FACTURACION DE SERVICIOS AL  1/02/2024,,514 BAHIA SALUD S.R.L.,
"martes, 6 de febrero de 2024",FA,A,20,13429,0,"29242,262",0,0,"228714,305",FACTURACION DE SERVICIOS AL  2/02/2024,,514 BAHIA SALUD S.R.L.,
"miércoles, 7 de febrero de 2024",FA,A,20,13436,0,"84772,614",0,0,"799889,069",FACTURACION DE SERVICIOS AL  1/02/2024,,514 BAHIA SALUD S.R.L.,
"jueves, 8 de febrero de 2024",FA,A,20,13440,0,"12108,096",0,0,"900191,09",FACTURACION DE SERVICIOS AL  1/02/2024,,514 BAHIA SALUD S.R.L.,
"jueves, 8 de febrero de 2024",FA,A,20,13441,0,"37818,427",0,0,"938009,517",FACTURACION DE SERVICIOS AL  2/02/2024,,514 BAHIA SALUD S.R.L.,
"jueves, 8 de febrero de 2024",FA,A,20,13442,0,"12108,096",0,0,"950117,613",FACTURACION DE SERVICIOS AL  3/02/2024,,514 BAHIA SALUD S.R.L.,
"jueves, 8 de febrero de 2024",FA,A,20,13443,0,"79444,952",0,0,"29562,565",FACTURACION DE SERVICIOS AL  4/02/2024,,514 BAHIA SALUD S.R.L.,
"jueves, 8 de febrero de 2024",FA,A,20,13444,0,"12108,096",0,0,"41670,661",FACTURACION DE SERVICIOS AL  5/02/2024,,514 BAHIA SALUD S.R.L.,
"jueves, 8 de febrero de 2024",FA,A,20,13445,0,"12108,096",0,0,"53778,757",FACTURACION DE SERVICIOS AL  6/02/2024,,514 BAHIA SALUD S.R.L.,
"jueves, 8 de febrero de 2024",FA,A,20,13446,0,"129960,23",0,0,"183738,987",FACTURACION DE SERVICIOS AL  9/02/2024,,514 BAHIA SALUD S.R.L.,
