FECHA;REF.;LET.;SUC.;NUM.;DEBE;HABER;SALDO;CONCEPTO.;FECHA DE PRESTACIÓN;ID EMPRESA;EMPRESA;FECHA ENTREGA;ClaveCtaCtte;;;FECHA;REF.;LET.;SUC.;NUM.;IMPORTE;ID EMPRESA;EMPRESA;CONVENIO;TEXTO:FACTURA:1;TEXTO:FACTURA:2;TEXTO:NOTA:1;TEXTO:NOTA:2;ClaveFactura;Adm- Rep Cta Ctte empresas
2/1/2024;FA;A;20;13230;1644500;0;644500;FACTURACION DE SERVICIOS AL;28/1/2024;15;MEDLINK SA;2/1/2024;20240102-1644500;;;2/1/2024;FA;A;20;13230;1644500;15;- MEDLINK SA;215 - CAPITA INTERNADOS US;IMPORTE CORRESPONDIENTE A PRESTACIONES MEDICAS;EFECTUADAS A AFILIADOS DE ESA OBRA SOCIAL .-;por prestaciones efectuadas a personal afiliado a esa O. Social.-;CAPITA MES DE ENERO 2024;20240102-1644500;[Tabla]
2/1/2024;FA;B;20;23323;20579467,1;0;223967,103;FACTURACION DE SERVICIOS AL;28/1/2024;74;O.S. E.F.;null;20240102-20579467,1;;;2/1/2024;FA;B;20;23323;20579467,1;74;- O.S. E.F.;74 - O.S.E.F.;IMPORTE CORRESPONDIENTE A PRESTACIONES MEDICAS;EFECTUADAS A AFILIADOS DE ESA OBRA SOCIAL .-;por prestaciones efectuadas a personal afiliado a esa O. Social.-;MONTO FIJO DICIEMBRE 2023;20240102-20579467,1;[Tabla]
2/1/2024;FA;B;127;38;1880887,882;0;104854,985;FACTURACION DE SERVICIOS AL;28/1/2024;74;O.S. E.F.;null;20240102-1880887,88;;;2/1/2024;FA;B;127;38;1880887,882;74;- O.S. E.F.;9074 - TOLHUIN - OSEF;IMPORTE CORRESPONDIENTE A PRESTACIONES MEDICAS;EFECTUADAS A AFILIADOS DE ESA OBRA SOCIAL .-;por prestaciones efectuadas a personal afiliado a esa O. Social.-;MONTO FIJO AMBULATORIO TOLHUIN DICIEMBRE 2023;20240102-1880887,88;[Tabla]
2/1/2024;FA;B;20;23324;4755,752;0;109610,737;FACTURACION DE SERVICIOS AL;26/12/2023;113;SWISS MEDICAL ART S.A.;10/1/2024;20240102-4755,75;;;2/1/2024;FA;B;20;23324;4755,752;113;- SWISS MEDICAL ART S.A.;4113 - PERIODICOS;IMPORTE CORRESPONDIENTE A PRESTACIONES MEDICAS;EFECTUADAS A SU SOLICITUD .-;por prestaciones efectuadas a su solicitud .-;EXAMENES PERIODICOS ORDEN N° 101018 Y 101019;20240102-4755,75;[Tabla]
2/1/2024;FA;B;20;23326;13562,64;0;123173,377;FACTURACION DE SERVICIOS AL;28/1/2024;200;PARTICULARES;null;20240102-13562,64;;;2/1/2024;FA;B;20;23326;13562,64;200;- PARTICULARES;202 - EXTRANJEROS;IMPORTE CORRESPONDIENTE A PRESTACIONES MEDICAS;EFECTUADAS A SU SOLICITUD .-;FACTURA MANUAL 80-359;SERVICIO DE ATENCION EN GUARDIA;20240102-13562,64;[Tabla]
2/1/2024;FA;B;20;23327;20568,412;0;143741,789;FACTURACION DE SERVICIOS AL;28/1/2024;200;PARTICULARES;null;20240102-20568,41;;;2/1/2024;FA;B;20;23327;20568,412;200;- PARTICULARES;202 - EXTRANJEROS;IMPORTE CORRESPONDIENTE A PRESTACIONES MEDICAS;EFECTUADAS A SU SOLICITUD .-;FACTURA MANUAL 80-360;SERVICIO DE ECOGRAFIA RENAL;20240102-20568,41;[Tabla]
2/1/2024;FA;B;20;23328;20668,412;0;164410,201;FACTURACION DE SERVICIOS AL;28/1/2024;200;PARTICULARES;null;20240102-20668,41;;;2/1/2024;FA;B;20;23328;20668,412;200;- PARTICULARES;202 - EXTRANJEROS;IMPORTE CORRESPONDIENTE A PRESTACIONES MEDICAS;EFECTUADAS A SU SOLICITUD .-;FACTURA MANUAL 80-362;SERVICIO DE ECORGAFIA DE ABDOMEN;20240102-20668,41;[Tabla]
2/1/2024;FA;A;49;674;776,677;0;165186,878;FACTURACION DE SERVICIOS AL;1/12/2023;199;PAX & CREW S.R.L.;4/1/2024;20240102-776,68;;;2/1/2024;FA;A;49;674;776,677;199;- PAX & CREW S.R.L.;199 - PASAJEROS & TRIPULAN;IMPORTE CORRESPONDIENTE A PRESTACIONES MEDICAS;EFECTUADAS A SU SOLICITUD .-;por prestaciones efectuadas a su solicitud .-;SERVICIO DE LABORATORIO - PTE_ANTONOVA RADINA;20240102-776,68;[Tabla]
2/1/2024;FA;A;20;13231;69317,83;0;234504,708;FACTURACION DE SERVICIOS AL;2/12/2023;199;PAX & CREW S.R.L.;4/1/2024;20240102-69317,83;;;2/1/2024;FA;A;20;13231;69317,83;199;- PAX & CREW S.R.L.;199 - PASAJEROS & TRIPULAN;IMPORTE CORRESPONDIENTE A PRESTACIONES MEDICAS;EFECTUADAS A SU SOLICITUD .-;por prestaciones efectuadas a su solicitud .-;PRESTACIONES MEDICAS - PTE_RUDIYONO;20240102-69317,83;[Tabla]
2/1/2024;FA;A;20;13232;9988,16;0;244492,868;FACTURACION DE SERVICIOS AL;3/12/2023;199;PAX & CREW S.R.L.;4/1/2024;20240102-9988,16;;;2/1/2024;FA;A;20;13232;9988,16;199;- PAX & CREW S.R.L.;199 - PASAJEROS & TRIPULAN;IMPORTE CORRESPONDIENTE A PRESTACIONES MEDICAS;EFECTUADAS A SU SOLICITUD .-;por prestaciones efectuadas a su solicitud .-;PRESTACIONES MEDICAS - PTE_VON ALMEN JENNIFER DIANE;20240102-9988,16;[Tabla]
2/1/2024;FA;A;20;13233;9988,16;0;254481,028;FACTURACION DE SERVICIOS AL;1/1/2024;199;PAX & CREW S.R.L.;4/1/2024;20240102-9988,16;;;2/1/2024;FA;A;20;13233;9988,16;199;- PAX & CREW S.R.L.;199 - PASAJEROS & TRIPULAN;IMPORTE CORRESPONDIENTE A PRESTACIONES MEDICAS;EFECTUADAS A SU SOLICITUD .-;por prestaciones efectuadas a su solicitud .-;PRESTACIONES MEDICAS - PTE_SILVERMAN LAUREN HARRIETT;20240102-9988,16;[Tabla]
2/1/2024;FA;A;49;675;28607,687;0;283088,715;FACTURACION DE SERVICIOS AL;30/12/2023;199;PAX & CREW S.R.L.;4/1/2024;20240102-28607,69;;;2/1/2024;FA;A;49;675;28607,687;199;- PAX & CREW S.R.L.;199 - PASAJEROS & TRIPULAN;IMPORTE CORRESPONDIENTE A PRESTACIONES MEDICAS;EFECTUADAS A SU SOLICITUD .-;por prestaciones efectuadas a su solicitud .-;SERVICIO DE LABORATORIO - PTE_ANTONOVA RADINA;20240102-28607,69;[Tabla]
2/1/2024;FA;A;49;676;11002,956;0;294091,671;FACTURACION DE SERVICIOS AL;31/12/2023;199;PAX & CREW S.R.L.;4/1/2024;20240102-11002,96;;;2/1/2024;FA;A;49;676;11002,956;199;- PAX & CREW S.R.L.;199 - PASAJEROS & TRIPULAN;IMPORTE CORRESPONDIENTE A PRESTACIONES MEDICAS;EFECTUADAS A SU SOLICITUD .-;por prestaciones efectuadas a su solicitud .-;SERVICIO DE LABORATORIO - PTE_RUDIYONO;20240102-11002,96;[Tabla]
2/1/2024;FA;A;49;677;30937,721;0;325029,392;FACTURACION DE SERVICIOS AL;28/12/2023;199;PAX & CREW S.R.L.;4/1/2024;20240102-30937,72;;;2/1/2024;FA;A;49;677;30937,721;199;- PAX & CREW S.R.L.;199 - PASAJEROS & TRIPULAN;IMPORTE CORRESPONDIENTE A PRESTACIONES MEDICAS;EFECTUADAS A SU SOLICITUD .-;por prestaciones efectuadas a su solicitud .-;SERVICIO DE LABORATORIO - PTE_SILVERMANLAUREN HARRIETT;20240102-30937,72;[Tabla]
2/1/2024;FA;A;20;13234;35800,411;0;360829,803;FACTURACION DE SERVICIOS AL;3/12/2023;514;BAHIA SALUD S.R.L.;null;20240102-35800,41;;;2/1/2024;FA;A;20;13234;35800,411;514;- BAHIA SALUD S.R.L.;1614 - EXTRANJEROS;IMPORTE CORRESPONDIENTE A PRESTACIONES MEDICAS;EFECTUADAS A SU SOLICITUD .-;por prestaciones efectuadas a su solicitud .-;PRESTACIONES MEDICA - PTE_LASTIMOSA MARY ANN SABEJON;20240102-35800,41;[Tabla]
2/1/2024;FA;A;20;13235;18404,911;0;379234,714;FACTURACION DE SERVICIOS AL;4/12/2023;514;BAHIA SALUD S.R.L.;null;20240102-18404,91;;;2/1/2024;FA;A;20;13235;18404,911;514;- BAHIA SALUD S.R.L.;1614 - EXTRANJEROS;IMPORTE CORRESPONDIENTE A PRESTACIONES MEDICAS;EFECTUADAS A SU SOLICITUD .-;por prestaciones efectuadas a su solicitud .-;PRESTACIONES MEDICAS - PTE_CAMPAÑA ARAOS HECTOR LUIS;20240102-18404,91;[Tabla]
2/1/2024;FA;A;20;13236;34751,548;0;413986,262;FACTURACION DE SERVICIOS AL;5/12/2023;514;BAHIA SALUD S.R.L.;null;20240102-34751,55;;;2/1/2024;FA;A;20;13236;34751,548;514;- BAHIA SALUD S.R.L.;1614 - EXTRANJEROS;IMPORTE CORRESPONDIENTE A PRESTACIONES MEDICAS;EFECTUADAS A SU SOLICITUD .-;por prestaciones efectuadas a su solicitud .-;PRESTACIONES MEDICAS - PTE_CASOLI PEDRO FEDERICO;20240102-34751,55;[Tabla]
2/1/2024;FA;A;20;13237;12108,096;0;426094,358;FACTURACION DE SERVICIOS AL;6/12/2023;514;BAHIA SALUD S.R.L.;null;20240102-12108,1;;;2/1/2024;FA;A;20;13237;12108,096;514;- BAHIA SALUD S.R.L.;1614 - EXTRANJEROS;IMPORTE CORRESPONDIENTE A PRESTACIONES MEDICAS;EFECTUADAS A SU SOLICITUD .-;por prestaciones efectuadas a su solicitud .-;PRESTACIONES MEDICAS - PTE_SAMPALLO ANIBAL MARTIN;20240102-12108,1;[Tabla]
