Sociedad,Cliente,Asignación,Nº documento,Clase de documento,Fecha de documento,Fe.contabilización,Símbolo vencimiento neto,Importe en moneda local,Referencia,Doc.compensación,Cuenta de mayor,Texto
X013,300003,,100056473,AB,3/31/2024,3/31/2024,,"-10319,60",,100056473,1030026,
X013,300004,,100056480,AB,3/31/2024,3/31/2024,,"3375360,72",,100056480,1030026,
X013,3071046420,,100055146,AB,3/30/2024,3/30/2024,,"0,00",,100055146,1030000,
X013,3051591148,202403281145330216,1800075112,XR,3/28/2024,3/28/2024,,"5308,47",0135A00000027,1400019813,1030000,
X013,3052276392,202403280828380204,1800075109,XR,3/28/2024,3/28/2024,,"1611384,35",0020B00023894,1400019891,1030000,
X013,3052276392,202403280830490205,1800075110,XR,3/28/2024,3/28/2024,,"10167487,79",0020B00023895,1400019891,1030000,
X013,3052276392,202403280831270206,1800075111,XR,3/28/2024,3/28/2024,,"338140,02",0020B00023896,1400019893,1030000,
X013,3068833954,202403281135400215,1600012445,XG,3/28/2024,3/28/2024,,"-45292,26",0020B00003770,1400019818,1030000,
X013,3071522673,202403281232180218,1800075114,XR,3/28/2024,3/28/2024,,"23926,39",0020A00013705,1400020134,1030000,
X013,3071522673,202403281236130219,1800075115,XR,3/28/2024,3/28/2024,,"15740,53",0020A00013706,1400019820,1030000,
X013,3071587446,202403281117170209,1600012439,XG,3/28/2024,3/28/2024,,"-496403,07",0020A00003170,1400019845,1030000,
X013,3071587446,202403281118210210,1600012440,XG,3/28/2024,3/28/2024,,"-23956,60",0020A00003171,1400019848,1030000,
X013,3071587446,202403281118310211,1600012441,XG,3/28/2024,3/28/2024,,"-30489,42",0020A00003172,1400019877,1030000,cancelan 22.04.24
X013,3071587446,202403281119120212,1600012442,XG,3/28/2024,3/28/2024,,"-25969,23",0020A00003173,1400019877,1030000,cancelan 22.04.24
X013,3071587446,202403281119580213,1600012443,XG,3/28/2024,3/28/2024,,"-139324,85",0020A00003174,1400019879,1030000,
X013,3071587446,202403281120580214,1600012444,XG,3/28/2024,3/28/2024,,"-1009,68",0049A00000259,1400019848,1030000,
